student_id, semester, course_id, grade
int, int, int, int
40110007,995,142,15
40110095,994,136,16
40110011,998,163,2
40110089,991,139,1
40110059,991,144,10
40110036,998,134,2
40110002,992,159,6
40110078,992,151,14
40110072,991,146,12
40110027,991,128,14
40110065,996,119,17
40110047,999,124,8
40110027,996,104,4
40110054,993,148,5
40110063,998,113,4
40110029,998,122,12
40110072,993,117,12
40110099,990,105,7
40110066,995,141,15
40110027,998,122,7
40110099,995,125,4
40110001,997,150,9
40110071,998,102,10
40110014,999,132,16
40110034,997,100,1
40110026,990,155,3
40110011,991,132,3
40110082,991,152,17
40110002,998,145,18
40110036,990,125,13
40110090,995,141,8
40110092,997,141,10
40110050,993,105,0
40110061,990,113,10
40110061,993,143,0
40110091,994,143,14
40110052,996,141,12
40110092,992,138,19
40110061,991,102,1
40110046,998,142,14
40110028,996,102,11
40110004,992,113,18
40110036,993,122,19
40110078,995,113,6
40110045,998,138,4
40110004,996,102,8
40110078,990,143,8
40110039,996,132,11
40110016,997,143,12
40110082,996,104,16
40110039,998,133,0
40110083,996,105,5
40110083,997,159,10
40110043,999,147,6
40110008,996,142,17
40110082,992,161,12
40110076,990,146,9
40110039,998,135,8
40110023,990,100,4
40110024,997,115,3
40110094,993,150,20
40110095,997,153,1
40110090,992,151,5
40110079,997,124,5
40110098,990,100,17
40110090,998,131,10
40110037,996,161,10
40110006,998,159,8
40110003,998,109,6
40110038,992,137,6
40110051,991,148,15
40110068,997,122,20
40110080,993,121,11
40110083,998,128,3
40110018,997,136,18
40110026,995,116,18
40110035,996,134,4
40110068,991,150,2
40110018,996,111,8
40110006,993,154,12
40110017,992,114,13
40110059,999,141,17
40110076,998,146,16
40110079,998,115,12
40110016,992,109,16
40110044,991,101,2
40110084,993,163,10
40110033,995,131,9
40110065,992,121,5
40110073,995,125,9
40110050,996,131,17
40110074,994,161,9
40110025,992,122,19
40110071,991,135,14
40110045,998,135,0
40110092,995,108,14
40110057,992,159,17
40110022,994,104,17
40110050,991,157,9
40110039,999,147,2
40110025,998,137,11
40110091,992,137,7
40110036,999,125,8
40110005,991,139,5
40110088,998,117,1
40110073,991,122,9
40110048,996,131,10
40110064,994,161,19
40110080,998,130,5
40110020,990,158,17
40110009,991,112,16
40110079,992,139,3
40110008,998,113,7
40110063,990,111,18
40110084,990,161,5
40110089,994,130,12
40110042,996,108,19
40110046,994,130,10
40110045,998,146,3
40110062,999,146,18
40110021,998,138,0
40110082,997,113,0
40110083,996,134,14
40110050,995,112,7
40110011,994,138,7
40110065,996,138,18
40110055,993,113,14
40110058,991,129,3
40110017,997,100,7
40110000,998,154,17
40110093,990,130,11
40110006,990,107,15
40110084,999,145,17
40110097,993,145,4
40110088,995,159,19
40110062,995,145,2
40110013,994,127,10
40110099,991,121,15
40110026,991,157,0
40110065,991,149,7
40110035,998,107,7
40110040,994,125,8
40110036,993,125,2
40110052,994,117,18
40110079,993,106,16
40110038,994,125,15
40110054,994,131,10
40110045,990,101,20
40110020,993,147,11
40110052,991,130,16
40110065,997,151,7
40110061,999,138,11
40110037,994,140,1
40110046,992,141,11
40110046,998,133,4
40110048,999,162,1
40110026,996,149,11
40110031,990,131,1
40110066,994,163,9
40110020,999,113,9
40110083,996,144,12
40110089,994,101,17
40110022,993,117,18
40110004,997,137,16
40110068,993,103,10
40110028,999,158,20
40110041,990,121,12
40110044,999,147,5
40110012,993,110,17
40110031,992,115,6
40110039,990,136,18
40110073,990,141,14
40110096,998,124,14
40110031,996,110,17
40110021,996,142,13
40110039,993,135,13
40110076,994,163,20
40110089,991,118,2
40110028,997,153,10
40110000,996,163,20
40110032,998,163,10
40110075,999,100,2
40110064,995,117,9
40110033,998,134,12
40110004,997,109,2
40110038,991,106,1
40110064,992,146,7
40110024,996,138,16
40110045,991,129,10
40110031,998,141,16
40110063,997,105,19
40110079,995,119,16
40110042,993,110,17
40110085,992,135,6
40110026,993,103,7
40110082,990,131,14
40110090,998,145,9
40110068,997,102,20
40110047,998,114,6
40110059,997,125,7
40110025,995,118,7
40110008,990,109,11
40110051,991,143,9
40110032,996,101,14
40110031,994,118,17
40110026,991,163,14
40110035,995,130,8
40110027,991,108,7
40110080,998,147,2
40110018,999,116,10
40110045,990,129,16
40110088,999,113,10
40110000,993,137,8
40110067,991,100,17
40110030,992,147,4
40110032,998,115,12
40110008,992,134,20
40110004,991,154,3
40110011,995,128,15
40110022,992,123,12
40110071,998,147,5
40110052,991,104,4
40110033,993,117,0
40110020,997,158,6
40110045,997,133,9
40110057,994,148,6
40110030,999,144,9
40110044,993,139,13
40110005,999,140,11
40110087,991,103,19
40110098,996,131,16
40110066,997,130,18
40110011,996,154,15
40110036,998,111,15
40110053,990,157,17
40110017,990,124,8
40110098,993,162,6
40110002,997,107,4
40110058,991,126,16
40110019,999,134,13
40110051,993,150,6
40110004,997,143,16
40110017,998,102,1
40110024,993,110,19
40110014,994,138,11
40110019,990,123,15
40110029,994,135,13
40110003,999,147,12
40110059,994,120,6
40110030,990,142,6
40110093,996,139,11
40110065,999,154,9
40110005,997,143,18
40110074,993,152,1
40110054,995,155,16
40110007,991,119,10
40110054,992,131,15
40110010,997,106,14
40110044,993,152,5
40110083,990,129,2
40110000,990,114,10
40110041,990,135,20
40110039,990,102,2
40110082,999,131,8
40110048,994,157,14
40110030,994,160,5
40110082,996,142,16
40110066,998,126,17
40110040,991,111,7
40110041,996,134,7
40110057,999,131,10
40110092,996,105,17
40110012,992,106,1
40110050,997,152,6
40110044,997,150,7
40110068,991,136,2
40110069,991,105,17
40110041,999,161,11
40110056,994,141,10
40110067,992,134,15
40110096,993,154,14
40110083,999,160,2
40110010,998,142,2
40110088,998,103,7
40110093,999,105,1
40110083,991,147,12
40110061,995,109,1
40110049,992,155,11
40110005,999,122,9
40110052,997,156,17
40110047,995,102,18
40110050,993,142,15
40110066,994,160,6
40110047,992,115,10
40110014,999,129,1
40110019,990,155,5
40110020,992,127,5
40110092,990,143,3
40110047,999,139,20
40110056,996,144,0
40110079,992,161,9
40110095,993,140,1
40110096,993,138,1
40110026,990,128,14
40110037,992,146,3
40110083,990,160,13
40110065,994,158,12
40110017,994,102,17
40110005,995,123,6
40110066,991,147,7
40110000,995,103,1
40110081,990,146,11
40110066,992,105,4
