event_id,template_id,type,date,count
int,int,str,str,int
1,512,open,2022-07-05,1
2,513,open,2022-07-05,41
3,514,open,2022-07-05,2
4,507,open,2022-07-05,1
5,510,open,2022-07-05,1
6,519,open,2022-07-05,9
7,455,open,2022-07-05,1
8,518,open,2022-07-05,3
9,520,open,2022-07-05,1
10,495,open,2022-07-05,1
11,466,open,2022-07-05,3
12,460,open,2022-07-05,1
13,449,open,2022-07-05,2
14,435,open,2022-07-05,1
15,417,open,2022-07-05,1
16,416,open,2022-07-05,1
17,412,open,2022-07-05,4
18,403,open,2022-07-05,2
19,394,open,2022-07-05,1
20,383,open,2022-07-05,1
21,377,open,2022-07-05,1
22,378,open,2022-07-05,1
23,371,open,2022-07-05,2
24,364,open,2022-07-05,1
25,362,open,2022-07-05,1
26,347,open,2022-07-05,1
27,348,open,2022-07-05,2
28,342,open,2022-07-05,1
29,335,open,2022-07-05,1
30,327,open,2022-07-05,1
31,324,open,2022-07-05,1
32,320,open,2022-07-05,1
33,321,open,2022-07-05,1
34,316,open,2022-07-05,1
35,313,open,2022-07-05,1
36,385,open,2022-07-05,1
37,410,open,2022-07-05,1
38,365,open,2022-07-05,1
39,309,open,2022-07-05,1
40,306,open,2022-07-05,1
41,301,open,2022-07-05,1
42,300,open,2022-07-05,1
43,299,open,2022-07-05,1
44,292,open,2022-07-05,1
45,289,open,2022-07-05,1
46,282,open,2022-07-05,1
47,278,open,2022-07-05,1
48,277,open,2022-07-05,1
49,275,open,2022-07-05,1
50,269,open,2022-07-05,1
51,266,open,2022-07-05,2
52,264,open,2022-07-05,1
53,260,open,2022-07-05,1
54,257,open,2022-07-05,1
55,259,open,2022-07-05,1
56,249,open,2022-07-05,1
57,248,open,2022-07-05,1
58,240,open,2022-07-05,1
59,239,open,2022-07-05,1
60,231,open,2022-07-05,1
61,232,open,2022-07-05,1
62,229,open,2022-07-05,1
63,228,open,2022-07-05,1
64,219,open,2022-07-05,1
65,197,open,2022-07-05,1
66,192,open,2022-07-05,1
67,188,open,2022-07-05,1
68,164,open,2022-07-05,1
69,158,open,2022-07-05,1
70,119,open,2022-07-05,1
71,97,open,2022-07-05,1
72,95,open,2022-07-05,1
73,88,open,2022-07-05,1
74,69,open,2022-07-05,1
75,56,open,2022-07-05,1
76,54,open,2022-07-05,1
77,52,open,2022-07-05,1
78,53,open,2022-07-05,2
79,45,open,2022-07-05,1
80,40,open,2022-07-05,1
81,36,open,2022-07-05,2
82,31,open,2022-07-05,1
83,4228,open,2022-07-05,1
84,4224,open,2022-07-05,1
85,4223,open,2022-07-05,2
86,4222,open,2022-07-05,1
87,4221,open,2022-07-05,1
88,4173,open,2022-07-05,2
89,4170,open,2022-07-05,2
90,4157,open,2022-07-05,2
91,4220,open,2022-07-05,1
92,4216,open,2022-07-05,1
93,4210,open,2022-07-05,1
94,4196,open,2022-07-05,1
95,4195,open,2022-07-05,1
96,4188,open,2022-07-05,1
97,4189,open,2022-07-05,1
98,4187,open,2022-07-05,1
99,4183,open,2022-07-05,1
100,4171,open,2022-07-05,1
101,4168,open,2022-07-05,2
102,4166,open,2022-07-05,1
103,4154,open,2022-07-05,1
104,4129,open,2022-07-05,1
105,4106,open,2022-07-05,1
106,4102,open,2022-07-05,1
107,4094,open,2022-07-05,1
108,4086,open,2022-07-05,1
109,4079,open,2022-07-05,1
110,4075,open,2022-07-05,1
111,4066,open,2022-07-05,1
112,4047,open,2022-07-05,1
113,4037,open,2022-07-05,1
114,4028,open,2022-07-05,1
115,4030,open,2022-07-05,1
116,4026,open,2022-07-05,1
117,4009,open,2022-07-05,1
118,4007,open,2022-07-05,1
119,4000,open,2022-07-05,1
120,4001,open,2022-07-05,1
121,3982,open,2022-07-05,1
122,3942,open,2022-07-05,1
123,3926,open,2022-07-05,1
124,3906,open,2022-07-05,2
125,3920,open,2022-07-05,1
126,3896,open,2022-07-05,1
127,3828,open,2022-07-05,1
128,3772,open,2022-07-05,1
129,3677,open,2022-07-05,1
130,3639,open,2022-07-05,1
131,3602,open,2022-07-05,2
132,3591,open,2022-07-05,1
133,3581,open,2022-07-05,2
134,3542,open,2022-07-05,2
135,3527,open,2022-07-05,1
136,3524,open,2022-07-05,1
137,3504,open,2022-07-05,1
138,3478,open,2022-07-05,2
139,3425,open,2022-07-05,1
140,3364,open,2022-07-05,1
141,3363,open,2022-07-05,1
142,3359,open,2022-07-05,2
143,3357,open,2022-07-05,1
144,3356,open,2022-07-05,1
145,3316,open,2022-07-05,1
146,3277,open,2022-07-05,1
147,3264,open,2022-07-05,1
148,3248,open,2022-07-05,1
149,3170,open,2022-07-05,2
150,3162,open,2022-07-05,1
151,3103,open,2022-07-05,1
152,463,open,2022-07-05,1
153,475,open,2022-07-05,1
154,516,open,2022-07-05,1
