event_id,template_id,count
int,int,int
1,512,1
2,513,41
3,514,2
4,507,1
5,510,1
6,519,9
7,455,1
8,518,3
9,520,1
10,495,1
11,466,3
12,460,1
13,449,2
14,435,1
15,417,1
16,416,1
17,412,4
18,403,2
19,394,1
20,383,1
21,377,1
22,378,1
23,371,2
24,364,1
25,362,1
26,347,1
27,348,2
28,342,1
29,335,1
30,327,1
31,324,1
32,320,1
33,321,1
34,316,1
35,313,1
36,385,1
37,410,1
38,365,1
39,309,1
40,306,1
41,301,1
42,300,1
43,299,1
44,292,1
45,289,1
46,282,1
47,278,1
48,277,1
49,275,1
50,269,1
51,266,2
52,264,1
53,260,1
54,257,1
55,259,1
56,249,1
57,248,1
58,240,1
59,239,1
60,231,1
61,232,1
62,229,1
63,228,1
64,219,1
65,197,1
66,192,1
67,188,1
68,164,1
69,158,1
70,119,1
71,97,1
72,95,1
73,88,1
74,69,1
75,56,1
76,54,1
77,52,1
78,53,2
79,45,1
80,40,1
81,36,2
82,31,1
83,4228,1
84,4224,1
85,4223,2
86,4222,1
87,4221,1
88,4173,2
89,4170,2
90,4157,2
91,4220,1
92,4216,1
93,4210,1
94,4196,1
95,4195,1
96,4188,1
97,4189,1
98,4187,1
99,4183,1
100,4171,1
101,4168,2
102,4166,1
103,4154,1
104,4129,1
105,4106,1
106,4102,1
107,4094,1
108,4086,1
109,4079,1
110,4075,1
111,4066,1
112,4047,1
113,4037,1
114,4028,1
115,4030,1
116,4026,1
117,4009,1
118,4007,1
119,4000,1
120,4001,1
121,3982,1
122,3942,1
123,3926,1
124,3906,2
125,3920,1
126,3896,1
127,3828,1
128,3772,1
129,3677,1
130,3639,1
131,3602,2
132,3591,1
133,3581,2
134,3542,2
135,3527,1
136,3524,1
137,3504,1
138,3478,2
139,3425,1
140,3364,1
141,3363,1
142,3359,2
143,3357,1
144,3356,1
145,3316,1
146,3277,1
147,3264,1
148,3248,1
149,3170,2
150,3162,1
151,3103,1
152,463,1
153,475,1
154,516,1
155,3700,1
156,483,2
157,474,2
158,563,1
159,558,1
160,579,1
161,580,1
162,494,1
163,3613,1
164,2667,2
165,2696,2
166,3647,1
167,492,1
168,415,2
169,4130,1
170,4122,1
171,4118,1
172,3629,1
173,3627,1
174,3605,1
175,3451,1
176,3452,1
177,3384,1
178,3352,1
179,3268,1
180,3200,1
181,3054,1
182,3043,1
183,3030,1
184,2941,1
185,2914,2
186,2876,1
187,2851,1
188,2846,1
189,2841,1
190,2777,1
191,2750,1
192,2740,1
193,2718,1
194,2708,2
195,4160,1
196,2705,1
197,2691,1
198,2683,1
199,2679,2
200,2672,1
201,2669,1
202,2660,1
203,2662,1
204,2655,1
205,2647,1
206,2607,1
207,2597,1
208,2581,1
209,2577,1
210,2543,1
211,2536,1
212,526,3
213,486,2
214,438,1
215,357,1
216,488,1
217,82,1
218,62,1
219,60,1
220,4217,1
221,4186,1
222,4185,1
223,526,10
224,520,10
225,517,3
226,355,1
227,163,1
228,74,1
229,48,1
230,39,1
231,4228,1
232,1,2
233,4224,1
234,4178,1
235,4135,1
236,4073,1
237,4062,1
238,4026,1
239,4009,1
240,3965,1
241,3935,1
242,3885,1
243,3843,1
244,3829,1
245,3699,1
246,240,1
247,206,1
248,114,1
249,4213,1
250,4184,1
251,4150,2
252,4133,2
253,4119,1
254,4084,1
255,518,8
256,3919,1
257,3896,1
258,3864,1
259,3662,1
260,3650,1
261,3596,1
262,453,1
263,3585,1
264,3565,1
265,442,4
266,3520,1
267,3937,2
268,3949,1
269,4075,1
270,4112,1
271,4146,1
272,438,3
273,2,1
274,14,1
275,28,1
276,30,2
277,435,1
278,27,1
279,51,1
280,68,1
281,98,1
282,97,1
283,115,1
284,172,1
285,221,1
286,226,1
287,234,1
288,260,2
289,271,2
290,413,1
291,305,1
292,404,2
293,313,2
294,312,1
295,320,1
296,370,2
297,398,2
298,423,1
299,431,1
300,455,2
301,475,1
302,485,1
303,501,3
304,503,1
305,470,1
306,368,1
307,351,5
308,349,1
309,345,1
310,321,2
311,488,1
312,481,1
313,469,1
314,454,2
315,448,1
316,519,5
317,445,1
318,414,1
319,401,1
320,259,1
321,333,1
322,466,1
323,335,1
324,316,1
325,296,1
326,275,4
327,447,2
328,257,1
329,486,2
330,449,1
331,439,1
332,428,3
333,478,1
334,427,1
336,3361,1
337,514,1
338,508,2
339,504,2
340,505,1
341,497,1
342,468,1
343,460,1
344,451,1
345,424,1
346,408,1
347,391,1
348,383,1
349,346,1
350,327,1
351,301,1
352,302,1
353,516,1
354,477,1
355,480,1
356,462,1
357,393,1
358,365,1
359,366,2
360,363,1
361,434,1
362,437,1
363,325,1
364,309,1
365,282,1
366,149,1
367,310,1
368,463,2
369,471,1
370,514,1
371,513,2
372,519,4
373,432,3
374,347,1
375,509,1
376,512,3
377,520,2
378,516,1
379,451,2
380,4197,1
381,435,1
382,3679,1
383,3653,1
384,3651,1
385,3359,1
386,3094,2
387,2539,1
388,1928,1
389,526,5
390,501,1
391,487,1
392,488,1
393,483,2
394,477,4
395,475,3
396,474,2
397,518,2
398,498,1
399,511,1
400,449,1
401,226,1
402,185,1
403,87,1
404,82,1
405,140,1
406,272,1
407,502,1
408,510,1
409,517,1
410,481,1
411,455,1
412,450,1
413,413,2
414,401,1
415,164,1
416,134,2
417,131,1
418,288,1
419,3893,2
420,252,1
421,211,1
422,499,1
423,428,1
424,411,2
425,239,1
426,48,1
427,34,1
428,27,1
429,8,1
430,4195,1
431,4168,2
432,4136,1
433,4104,2
434,4081,1
435,4066,1
436,4043,1
437,4022,1
438,3849,1
439,3643,1
440,3566,1
441,3558,2
442,3556,1
443,3456,1
444,3563,1
445,3137,1
446,3002,1
447,3579,1
448,442,1
449,264,2
450,200,1
451,130,1
452,103,1
453,22,1
454,118,1
455,440,1
456,470,1
457,414,1
458,406,1
459,399,1
460,385,1
461,380,1
462,379,1
463,376,1
464,371,1
465,370,1
466,359,1
467,358,1
468,357,1
469,356,1
470,354,1
471,353,1
472,355,1
473,345,1
474,342,1
475,343,1
